1,one,first
2,two,second
3,three,third
4,four,fourth
5,five,fifth
6,six,sixth
7,seven,seventh
8,eight,eighth
9,nine,ninth
10,ten,tenth
11,eleven,eleventh
12,twelve,twelfth
13,thirteen,thirteenth
14,fourteen,fourteenth
15,fifteen,fifteenth
16,sixteen,sixteenth
17,seventeen,seventeenth
18,eighteen,eighteenth
19,nineteen,nineteenth
20,twenty,twentieth
21,twenty-one,twenty-first
22,twenty-two,twenty-second
23,twenty-three,twenty-third
24,twenty-four,twenty-fourth
25,twenty-five,twenty-fifth
26,twenty-six,twenty-sixth
27,twenty-seven,twenty-seventh
28,twenty-eight,twenty-eighth
29,twenty-nine,twenty-ninth
30,thirty,thirtieth
31,thirty-one,thirty-first
32,thirty-two,thirty-second
33,thirty-three,thirty-third
34,thirty-four,thirty-fourth
35,thirty-five,thirty-fifth
36,thirty-six,thirty-sixth
37,thirty-seven,thirty-seventh
38,thirty-eight,thirty-eighth
39,thirty-nine,thirty-ninth
40,forty,fortieth
41,forty-one,forty-first
42,forty-two,forty-second
43,forty-three,forty-third
44,forty-four,forty-fourth
45,forty-five,forty-fifth
46,forty-six,forty-sixth
47,forty-seven,forty-seventh
48,forty-eight,forty-eighth
49,forty-nine,forty-ninth
50,fifty,fiftieth
51,fifty-one,fifty-first
52,fifty-two,fifty-second
53,fifty-three,fifty-third
54,fifty-four,fifty-fourth
55,fifty-five,fifty-fifth
56,fifty-six,fifty-sixth
57,fifty-seven,fifty-seventh
58,fifty-eight,fifty-eighth
59,fifty-nine,fifty-ninth
60,sixty,sixtieth
61,sixty-one,sixty-first
62,sixty-two,sixty-second
63,sixty-three,sixty-third
64,sixty-four,sixty-fourth
65,sixty-five,sixty-fifth
66,sixty-six,sixty-sixth
67,sixty-seven,sixty-seventh
68,sixty-eight,sixty-eighth
69,sixty-nine,sixty-ninth
70,seventy,seventieth
71,seventy-one,seventy-first
72,seventy-two,seventy-second
73,seventy-three,seventy-third
74,seventy-four,seventy-fourth
75,seventy-five,seventy-fifth
76,seventy-six,seventy-sixth
77,seventy-seven,seventy-seventh
78,seventy-eight,seventy-eighth
79,seventy-nine,seventy-ninth
80,eighty,eightieth
81,eighty-one,eighty-first
82,eighty-two,eighty-second
83,eighty-three,eighty-third
84,eighty-four,eighty-fourth
85,eighty-five,eighty-fifth
86,eighty-six,eighty-sixth
87,eighty-seven,eighty-seventh
88,eighty-eight,eighty-eighth
89,eighty-nine,eighty-ninth
90,ninety,ninetieth
91,ninety-one,ninety-first
92,ninety-two,ninety-second
93,ninety-three,ninety-third
94,ninety-four,ninety-fourth
95,ninety-five,ninety-fifth
96,ninety-six,ninety-sixth
97,ninety-seven,ninety-seventh
98,ninety-eight,ninety-eighth
99,ninety-nine,ninety-ninth
100,one hundred,one hundredth